input_filename	batch_id	parent_read_id	read_id	run_id	channel	mux	minknow_events	start_time	duration	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	pore_type	experiment_id	sample_id	end_reason
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	60ddf27a-62b2-49f9-979d-f92d87afebbe	60ddf27a-62b2-49f9-979d-f92d87afebbe	66b2eea5-f887-4690-bd76-97fd9c4e416b	177	1	3124	1357.061035	5.070800	TRUE	1357.168579	4136	4.963200	2070	23.001471	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	dfd4f6bb-ebb8-429d-933a-f93d25ee56d9	dfd4f6bb-ebb8-429d-933a-f93d25ee56d9	66b2eea5-f887-4690-bd76-97fd9c4e416b	766	3	45936	1234.902954	74.097198	TRUE	1234.986572	61678	74.013603	27431	20.568546	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	d1551ee3-11db-4589-a0c1-dfe49196c91d	d1551ee3-11db-4589-a0c1-dfe49196c91d	66b2eea5-f887-4690-bd76-97fd9c4e416b	1801	3	25601	1294.704956	41.458401	TRUE	1294.831787	34443	41.331600	16841	25.228140	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	463b0a3f-4f56-4671-ab2a-c0239bdd7d04	463b0a3f-4f56-4671-ab2a-c0239bdd7d04	66b2eea5-f887-4690-bd76-97fd9c4e416b	2447	1	31673	1326.546021	56.644402	TRUE	1326.718384	47060	56.472000	16802	30.485849	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	80d11760-ce1a-4c92-8d6f-98025e0c9a93	80d11760-ce1a-4c92-8d6f-98025e0c9a93	66b2eea5-f887-4690-bd76-97fd9c4e416b	911	1	38369	1245.686035	60.838402	TRUE	1245.767212	50631	60.757198	26309	25.003677	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	040b20ac-e505-4b94-b370-aa0f098cfa64	040b20ac-e505-4b94-b370-aa0f098cfa64	66b2eea5-f887-4690-bd76-97fd9c4e416b	1549	1	33042	1323.947021	52.187599	TRUE	1324.013794	43434	52.120800	23031	25.895269	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	cb587f42-8f91-49b7-820d-a0ae21bc7295	cb587f42-8f91-49b7-820d-a0ae21bc7295	66b2eea5-f887-4690-bd76-97fd9c4e416b	2185	1	4815	1376.534058	7.685000	TRUE	1376.536011	6402	7.683000	3162	31.620041	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	aff744b0-f77f-4ca0-99bc-813720cfc47f	aff744b0-f77f-4ca0-99bc-813720cfc47f	66b2eea5-f887-4690-bd76-97fd9c4e416b	2185	1	12977	1277.780029	20.572399	TRUE	1277.890015	17052	20.462400	8569	31.058504	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	ba7fbb2b-2718-453a-88b1-82abb91c8816	ba7fbb2b-2718-453a-88b1-82abb91c8816	66b2eea5-f887-4690-bd76-97fd9c4e416b	2524	1	39434	1317.911011	52.931599	TRUE	1317.998169	44037	52.844398	30853	20.901888	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	bb046809-6db0-4f17-87bd-d9dffaf58666	bb046809-6db0-4f17-87bd-d9dffaf58666	66b2eea5-f887-4690-bd76-97fd9c4e416b	1225	4	46212	1313.791016	71.060997	TRUE	1313.792969	59215	71.058998	32334	20.196764	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
