drug	gene	risk_association	paired_tstat	p
Captopril	TCF4	High_risk	-1.936110081	0.2
Captopril	TEAD4	High_risk	-1.891524006	0.2
Captopril	TGFB1I1	High_risk	-1.733850782	0.2
Captopril	TNK2	High_risk	0.415882575	1
Captopril	TRIO	High_risk	-1.38881118	0.2
Captopril	TSC22D2	High_risk	1.368281609	0.2
Captopril	WIPF1	High_risk	-1.805683731	0.2
Captopril	AARS	Low_risk	-0.457224406	0.2
Captopril	ACOT2	Low_risk	1.994557041	1
Captopril	ACSM3	Low_risk	-1.784253427	0.2
Captopril	ADH5	Low_risk	0.26526493	0.2
Captopril	ADH6	Low_risk	-0.005660472	0.2
Captopril	ADRA2B	Low_risk	-0.539349348	0.2
Captopril	AKR1A1	Low_risk	-0.013125296	1
Captopril	AKR1D1	Low_risk	1.152089658	0.2
Captopril	ALAS1	Low_risk	1.64970016	1
Captopril	ALDH9A1	Low_risk	-1.583664709	0.2
Captopril	ANKRD46	Low_risk	-1.879062749	0.2
Captopril	AOX1	Low_risk	1.577370834	1
Captopril	AR	Low_risk	1.610087163	1
Captopril	ARF4	Low_risk	-1.830655683	0.2
Captopril	ART1	Low_risk	-0.283674423	0.2
Captopril	ASAHL	Low_risk	2.024443474	1
Captopril	ATP2C1	Low_risk	-2.087573192	0.2
Captopril	ATP5D	Low_risk	1.211754439	1
Captopril	ATP6AP2	Low_risk	-1.83756479	0.2
Captopril	BAIAP2	Low_risk	-1.327707541	0.2
Captopril	BRP44	Low_risk	-1.403277277	0.2
Captopril	C4BPB	Low_risk	-1.901892517	0.2
Captopril	C5	Low_risk	2.040392151	1
Captopril	C8B	Low_risk	0.924021588	1
Captopril	C9	Low_risk	1.939959409	1
Captopril	CALCR	Low_risk	-1.531894324	0.2
Captopril	CCT8	Low_risk	-1.497603546	0.2
Captopril	CPN1	Low_risk	1.439348569	0.2
Captopril	CPOX	Low_risk	-1.291975846	0.2
Captopril	CREB1	Low_risk	-1.503522117	0.2
Captopril	CTBS	Low_risk	-0.960223927	0.2
Captopril	CUTL2	Low_risk	1.447798461	1
Captopril	CYB5A	Low_risk	1.01895147	1
Captopril	CYP2B6	Low_risk	0.682905274	0.2
Captopril	DAD1	Low_risk	1.023664156	1
Captopril	DLGAP4	Low_risk	-1.809943689	0.2
Captopril	DOCK4	Low_risk	0.063591009	1
Captopril	DST	Low_risk	-1.189870395	0.2
Captopril	EIF2B1	Low_risk	-1.461349899	0.2
Captopril	EMD	Low_risk	-1.828908656	0.2
Captopril	ERCC5	Low_risk	-1.993097395	0.2
Captopril	F9	Low_risk	-0.1305298	0.2
Captopril	FAM129A	Low_risk	-1.658392902	0.2
